Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law,Experience in SubordiNot Applicablete Judiciary,appointment_dt
Biswanath Sommader,male,1963-12-15T00:00:00Z,West Bengal,Calcutta,2006-06-22T00:00:00Z,2025-12-14T00:00:00Z,No,No,Calcutta,Yes,Allahabad,2019-10-17T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Calcutta,Meghalaya,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,University of Calcutta,Not Available,University of Calcutta,Not Available,1989,West Bengal,No,No,No,,2006-06-22 00:00:00+00:00
C.S. Karnan,male,1955-06-12T00:00:00Z,"Karnatham Village, Virudhachalam Taluk,","Cuddalore District, Tamil Nadu",2016-03-11T00:00:00Z,2017-06-11T00:00:00Z,No,No,Madras,Yes,Madras,Not Applicable,Calcutta,2016-03-11T00:00:00Z,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Mangalampet High School,"New College, Chennai",Science,Madras Law College,1983,1983,Tamil Nadu,No,No,No,,2016-03-11 00:00:00+00:00
Debangsu Basak,male,1966-06-19T00:00:00Z,Not Available,Not Available,2013-10-30T00:00:00Z,2028-06-18T00:00:00Z,No,No,Calcutta,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,1991,West Bengal,No,No,No,,2013-10-30 00:00:00+00:00
Debasish Kar Gupta,male,1957-01-01T00:00:00Z,Calcutta,West Bengal,2006-06-22T00:00:00Z,2018-12-30T00:00:00Z,No,No,Calcutta,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Calcutta,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Yes,No,No,No,No,Not Available,University of Calcutta,Not Available,University of Calcutta,1980,1982,West Bengal,No,No,No,,2006-06-22 00:00:00+00:00
Debi Prosad Dey,male,1956-02-16T00:00:00Z,Not Available,Not Available,2016-10-06T00:00:00Z,2018-02-15T00:00:00Z,No,No,Calcutta,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Purulia Zilla School,Burdwan University,Commerce,Burdwan University,Not Available,Not Available,West Bengal,No,No,No,,2016-10-06 00:00:00+00:00
Dipak Saha Ray,male,1951-06-02T00:00:00Z,Not Available,Not Available,2012-04-09T00:00:00Z,2013-06-01T00:00:00Z,No,No,Calcutta,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Applicable,Service,Yes,Yes,No,No,No,No,No,No,No,Not Available,Not Available,Science,Not Available,Not Available,1977,West Bengal,No,No,No,,2012-04-09 00:00:00+00:00
Dipankar Datta,male,1965-02-09T00:00:00Z,Not Available,Not Available,2006-06-22T00:00:00Z,2020-04-27T00:00:00Z,No,No,Calcutta,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Bombay,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,University of Calcutta,Not Available,University of Calcutta,1989,1989,West Bengal,No,No,No,,2006-06-22 00:00:00+00:00
G.C Dey,male,1943-01-08T00:00:00Z,Not Available,Not Available,1999-09-16T00:00:00Z,2005-01-07T00:00:00Z,No,No,Calcutta,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,No,No,No,No,No,Not Available,University of Calcutta,Not Available,University of Calcutta,1964,1965,West Bengal,No,No,No,,1999-09-16 00:00:00+00:00
Girish Chandra Gupta,male,1954-12-01T00:00:00Z,Kolkata,Not Available,2000-09-15T00:00:00Z,2016-02-01T00:00:00Z,No,No,Calcutta,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Calcutta,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Kolkata,Not Available,Not Available,Not Available,Not Available,1982,West Bengal,No,No,No,,2000-09-15 00:00:00+00:00
Harish Tandon,male,1964-11-16T00:00:00Z,Not Available,Not Available,2010-04-13T00:00:00Z,2026-11-15T00:00:00Z,No,No,Calcutta,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Not Available,University of Calcutta,Not Available,University of Calcutta,1989,1989,West Bengal,No,No,No,,2010-04-13 00:00:00+00:00
Hiranmay Bhattacharya,male,1968-12-18T00:00:00Z,Not Available,Not Available,2019-02-12T00:00:00Z,2030-12-17T00:00:00Z,No,No,Calcutta,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,"Ramakrishna Mission Vidyalaya, Narendrapur",Goenka College of Commerce and Business Administration,Commerce,University of Calcutta,2000,Not Available,West Bengal,No,Yes,No,,2019-02-12 00:00:00+00:00
Indira Banerjee,female,1957-09-24T00:00:00Z,Not Available,Not Available,2002-02-05T00:00:00Z,2022-09-23T00:00:00Z,No,No,Calcutta,Yes,Delhi,2016-08-08T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Madras,Not Applicable,Not Applicable,Yes,2018-08-07T00:00:00Z,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,"Loreto House, Calcutta",Presidency College,Not Available,"Calcutta University, College of Law",Not Available,1985,West Bengal,No,No,No,,2002-02-05 00:00:00+00:00
Indra Prasanna Mukherji,male,1963-06-09T00:00:00Z,Not Available,Not Available,2009-05-18T00:00:00Z,2025-06-08T00:00:00Z,No,No,Calcutta,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,"St. Xavier's Schoool, Calcutta",Not Available,Not Available,University of Calcutta,Not Available,1990,West Bengal,Yes,No,No,,2009-05-18 00:00:00+00:00
Indrajit Chatterjee,male,1955-02-02T00:00:00Z,West Bengal,Bankura,2013-10-01T00:00:00Z,2017-02-01T00:00:00Z,No,No,Calcutta,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Yes,No,No,No,No,Not Available,University of Calcutta (Belur Vidya Mandir),Not Available,Burdawan University,1979,1980,West Bengal,No,No,No,,2013-10-01 00:00:00+00:00
Ishan Chandra Das,male,1955-03-01T00:00:00Z,Not Available,Not Available,2013-10-01T00:00:00Z,2017-02-28T00:00:00Z,No,No,Calcutta,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Calcutta University,Not Available,Calcutta University,1979,Not Available,Not Available,No,Yes,No,,2013-10-01 00:00:00+00:00
Jainarayan Patel,male,1950-10-05T00:00:00Z,Not Available,Not Available,1996-03-11T00:00:00Z,2012-10-05T00:00:00Z,No,No,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Calcutta,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,1974,Bombay,No,No,No,,1996-03-11 00:00:00+00:00
Jay Sengupta,male,1970-10-30T00:00:00Z,Not Available,Not Available,2018-05-02T00:00:00Z,2032-10-29T00:00:00Z,No,No,Calcutta,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,"South Point High School, Kolkata","St. Xaviers College, Kolkata",Economics,University of Mumbai,Not Available,1996,West Bengal,No,No,No,,2018-05-02 00:00:00+00:00
JK Biswas,male,1953-02-17T00:00:00Z,Not Available,Not Available,2002-02-05T00:00:00Z,2015-02-16T00:00:00Z,No,No,Calcutta,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,No,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,1981,West Bengal,No,No,No,,2002-02-05 00:00:00+00:00
Joymalya Bagchi,male,1966-10-03T00:00:00Z,Not Available,Not Available,2011-06-27T00:00:00Z,2028-10-02T00:00:00Z,No,No,Calcutta,Yes,Andhra Pradesh,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Calcutta Boy's School,Calcutta University,Integrated Law,University of Calcutta,1991,1991,West Bengal,No,No,No,,2011-06-27 00:00:00+00:00
Jyotirmay Bhattacharya,male,1956-09-25T00:00:00Z,West Bengal,"Village Beliachandi, 24-Parganas (South)",2003-12-03T00:00:00Z,2018-09-23T00:00:00Z,No,No,Calcutta,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Calcutta,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Baruipur High School,"St. Xavier's College, Calcutta",Not Available,University of Calcutta,Not Available,1983,West Bengal,No,No,No,,2003-12-03 00:00:00+00:00
Kalyan Jyoti Sengupta,male,1953-05-07T00:00:00Z,Not Available,Not Available,1997-07-17T00:00:00Z,2015-05-06T00:00:00Z,No,No,Calcutta,Yes,Uttarakhand,2012-10-18T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Calcutta,Andhra Pradesh,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,1981,West Bengal,No,No,No,,1997-07-17 00:00:00+00:00
Kanchan Chakraborty,male,1952-01-04T00:00:00Z,West Bengal,Malda,2010-06-21T00:00:00Z,2014-01-03T00:00:00Z,No,No,Calcutta,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Applicable,Service,Yes,Yes,No,No,No,No,No,No,No,Not Available,North Bengal University,Commerce,University of Calcutta,1977,Not Available,West Bengal,No,No,No,,2010-06-21 00:00:00+00:00
Kaushik Chanda,male,1974-01-04T00:00:00Z,Not Available,Not Available,2019-10-01T00:00:00Z,2036-01-03T00:00:00Z,No,No,Calcutta,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,No,No,No,No,No,Not Available,Not Available,Not Available,University of Calcutta,1997,1998,West Bengal,No,No,No,,2019-10-01 00:00:00+00:00
Madhumati Mitra,female,1958-05-31T00:00:00Z,West Bengal,Not Available,2020-04-24T00:00:00Z,2020-05-30T00:00:00Z,No,No,Calcutta,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Yes,No,No,No,No,Not Available,Srerampore College,Not Available,"University College of Law, Calcutta",Not Available,Not Available,West Bengal,No,No,Yes,,2020-04-24 00:00:00+00:00
Malay Marut Banerjee,male,1955-04-01T00:00:00Z,Not Available,Not Available,2016-10-06T00:00:00Z,2017-03-31T00:00:00Z,No,No,Calcutta,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,No,No,No,No,No,"Ramakrishna Mission Vidya Mandir, Belur Math",University of Burdawan,Not Available,University of Burdwan,1979,Not Available,Not Available,No,No,No,,2016-10-06 00:00:00+00:00
Manjula Chellur,female,1955-12-05T00:00:00Z,Karnataka,Bellary,2014-08-05T00:00:00Z,2017-12-04T00:00:00Z,No,No,Karnataka,Yes,Bombay,2016-08-22T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available,No,Not Applicable,Service,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Not Available,"Allum Sumangalamma Womens’ College, Bellary",Humanities,"Renukacharya Law College, Bangalore",1977,1978,Karnataka,No,No,No,,2014-08-05 00:00:00+00:00
Manojit Mandal,male,1958-09-27T00:00:00Z,West Bengal,Not Available,2020-09-24T00:00:00Z,2020-09-26T00:00:00Z,No,No,Calcutta,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,No,No,No,No,No,Not Available,University of Calcutta,Commerce,University of Calcutta,1982,Not Available,West Bengal,No,No,No,,2020-09-24 00:00:00+00:00
Md Nizamuddin,male,Not Available,Not Available,Not Available,2019-02-12T00:00:00Z,2024-04-13T00:00:00Z,No,No,Calcutta,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,West Bengal,Not Available,Not Available,Not Available,,2019-02-12 00:00:00+00:00
Md. Mumtaz Khan,male,1957-08-15T00:00:00Z,Not Available,Not Available,2015-03-30T00:00:00Z,2019-08-14T00:00:00Z,No,No,Calcutta,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,No,No,No,No,No,Not Available,Not Available,Science,Not Available,Not Available,Not Available,Not Available,No,No,No,,2015-03-30 00:00:00+00:00
Mir Dara Sheko,male,1956-02-11T00:00:00Z,Not Available,Not Available,2016-10-06T00:00:00Z,2018-02-10T00:00:00Z,No,No,Calcutta,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,Rampurhat College,Arts,Jogesh Chandra Choudhury College of Law under University of Calcutta,1980,1981,Birbhum,No,No,No,,2016-10-06 00:00:00+00:00
Mohit Shantilal Shah,male,1953-09-09T00:00:00Z,Gujarat,Vijapur,1995-09-18T00:00:00Z,2015-09-09T00:00:00Z,No,No,Gujarat,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Calcutta,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,"Baroda, Surat, Amreli",Maharaja Sayajirao University of Baroda,Not Available,Maharaja Sayajirao University of Baroda,1976,1976,Gujrat,No,No,No,,1995-09-18 00:00:00+00:00
Moushumi Bhattacharya,female,1967-10-27T00:00:00Z,Not Available,Not Available,2017-09-21T00:00:00Z,2029-10-26T00:00:00Z,No,No,Calcutta,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,"Loreto House, Calcutta","Jadavpur University, Calcutta",English,University of Calcutta,1996,1997,West Bengal,Yes,No,Yes,,2017-09-21 00:00:00+00:00
Mrinal Kanti Saha,male,1952-11-09T00:00:00Z,Not Available,Not Available,2009-06-24T00:00:00Z,2014-11-08T00:00:00Z,No,No,Calcutta,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Applicable,Service,Yes,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,University of Calcutta,Not Available,Not Available,Not Available,No,Yes,No,,2009-06-24 00:00:00+00:00
Murari Prasad Shrivastava,male,1952-02-13T00:00:00Z,West Bengal,Dum Dum,2012-04-09T00:00:00Z,2014-02-12T00:00:00Z,No,No,Calcutta,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Applicable,Service,Yes,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,"Don Bosco, Park Circus, Kolkata","St. Xavier's College, Kolkata",Chemistry,University of Calcutta,Not Available,Not Available,Not Available,No,Yes,No,,2012-04-09 00:00:00+00:00
Nadira Patherya,female,1956-11-19T00:00:00Z,Not Available,Not Available,2006-06-22T00:00:00Z,2018-11-18T00:00:00Z,No,No,Calcutta,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Not Available,University of Calcutta,Arts,University of Calcutta,Not Available,1983,West Bengal,No,No,No,,2006-06-22 00:00:00+00:00
Nishita Mhatre,female,2020-09-20T00:00:00Z,Maharashtra,Pune,2003-03-21T00:00:00Z,2017-09-18T00:00:00Z,No,No,Bombay,Yes,Calcutta,2011-12-27T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Calcutta,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,St. Mary’s School,"Sophia College, Mumbai",Microbiology,"Government Law College, Mumbai",Not Available,1978,Maharashtra and Goa,No,No,No,,2003-03-21 00:00:00+00:00
PK Chattopadhyay,male,1953-08-09T00:00:00Z,Not Available,Not Available,2000-09-15T00:00:00Z,2015-08-08T00:00:00Z,No,No,Calcutta,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Not Available,Not Available,Science,University of Calcutta,Not Available,1978,West Bengal,No,No,No,,2000-09-15 00:00:00+00:00
Prasenjit Mandal,male,1952-03-28T00:00:00Z,Not Available,Not Available,2006-06-22T00:00:00Z,2014-03-27T00:00:00Z,No,No,Calcutta,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Applicable,Service,Yes,Yes,No,No,Yes,No,No,No,No,Not Available,Not Available,Physics,Not Available,Not Available,1975,Not Available,No,No,No,,2006-06-22 00:00:00+00:00
Protik Prakash Banerjee,male,1969-06-01T00:00:00Z,Not Available,Not Available,2017-09-21T00:00:00Z,2031-05-31T00:00:00Z,Yes,No,Calcutta,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,Yes,Calcutta Boys School,University of Calcutta,Not Available,University of Calcutta,Not Available,1995,West Bengal,No,No,No,,2017-09-21 00:00:00+00:00
Raghunath Bhattacharya,male,1952-01-11T00:00:00Z,Not Available,Not Available,2010-06-21T00:00:00Z,2014-01-10T00:00:00Z,No,No,Calcutta,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Applicable,Service,Yes,No,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Universty of Calcutta,Chemistry,University of Calcutta,1977,Not Available,Not Available,No,No,No,,2010-06-21 00:00:00+00:00
Rajarshi Bharadwaj,male,1967-08-04T00:00:00Z,Not Available,Not Available,2017-09-21T00:00:00Z,2029-08-03T00:00:00Z,No,No,Calcutta,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Not Available,"St. Xaviers College, Kolkata",Not Available,University of Calcutta,1998,1999,West Bengal,No,No,No,,2017-09-21 00:00:00+00:00
Rajasekhar Mantha,male,1967-10-29T00:00:00Z,Not Available,Not Available,2017-09-21T00:00:00Z,2029-10-28T00:00:00Z,No,No,Calcutta,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,No,No,No,No,No,"St. Paul's Boarding and Day's School; St. Xavier's Collegiate School, Calcutta",Not Available,Not Available,"University College of Law, Nagpur",1990,1991,West Bengal,Yes,No,Yes,,2017-09-21 00:00:00+00:00
Rajesh Bindal,male,1961-04-16T00:00:00Z,Haryana,Ambala City,2006-03-22T00:00:00Z,2023-04-15T00:00:00Z,No,No,Punjab and Haryana,Not Available,J&K and Ladakh,2018-11-19T00:00:00Z,Calcutta,2021-01-05T00:00:00Z,Not Available,Not Available,Yes,J&K and Ladakh,Calcutta,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,Kurukshestra University,Not Available,Kurukshestra University,1985,1985,Punjab and Haryana,No,No,No,,2006-03-22 00:00:00+00:00
Rajiv Sharma,male,1955-09-25T00:00:00Z,Uttar Pradesh,Lucknow,2004-09-24T00:00:00Z,2017-09-24T00:00:00Z,No,No,Allahabad,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,Yes,"Mahanagar Boys' Inter College, Lucknow; Colvin Taluqader's College, Lucknow","Canning College, University of Lucknow",Science,Not Available,Not Available,1979,Uttar Pradesh,No,Yes,No,,2004-09-24 00:00:00+00:00
Rakesh Tiwari,male,1955-10-25T00:00:00Z,Not Available,Not Available,2002-02-14T00:00:00Z,2017-10-23T00:00:00Z,No,No,Allahabad,Yes,Calcutta,2016-03-21T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Calcutta,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Yes,No,No,Not Available,Allahabad University,Commerce,Allahabad University,Not Available,1984,Allahabad,No,No,No,,2002-02-14 00:00:00+00:00
Ranjit Kumar Bag,male,1955-11-08T00:00:00Z,Not Available,Not Available,2013-10-01T00:00:00Z,2017-11-07T00:00:00Z,No,No,Calcutta,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Yes,No,No,No,No,Not Available,Calcutta University,Not Available,Calcutta University,Not Available,Not Available,West Bengal,No,No,No,,2013-10-01 00:00:00+00:00
Ravi Krishan Kapur,male,1971-10-05T00:00:00Z,Not Available,Not Available,2018-03-12T00:00:00Z,2033-10-04T00:00:00Z,No,No,Calcutta,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Not Available,"St. Xaviers College, Kolkata",Commerce,University of Leeds,1997,1998,West Bengal,Yes,No,No,,2018-03-12 00:00:00+00:00
Sabyasachi Bhattacharyya,male,1970-08-30T00:00:00Z,Not Available,Not Available,2017-09-21T00:00:00Z,2032-08-29T00:00:00Z,No,No,Calcutta,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Yes,No,No,No,No,Calcutta Boy's School,Not Available,Not Available,University of Calcutta,1995,1995,West Bengal,No,No,No,,2017-09-21 00:00:00+00:00
Sahidullah Munshi,male,1958-09-29T00:00:00Z,Not Available,Not Available,2016-03-14T00:00:00Z,2020-09-28T00:00:00Z,No,No,Calcutta,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Not Available,Not Available,Science,Not Available,Not Available,1986,West Bengal,No,No,No,,2016-03-14 00:00:00+00:00
Samapti Chatterjee,female,1958-12-13T00:00:00Z,West Bengal,Not Available,2016-03-14T00:00:00Z,2020-12-12T00:00:00Z,No,No,Calcutta,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Not Available,Gokhale Memorial College,Not Available,University of Calcutta,Not Available,1985,West Bengal,No,No,No,,2016-03-14 00:00:00+00:00
"Sambuddha Chakrabarti

",male,1958-05-11T00:00:00Z,West Bengal,Not Available,2010-09-13T00:00:00Z,2020-05-10T00:00:00Z,No,No,Calcutta,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Yes,No,No,No,No,Not Available,Presidency University,Not Available,University of Calcutta,1986,Not Available,Not Available,No,Yes,No,,2010-09-13 00:00:00+00:00
Sanjib Banerjee,male,1961-11-02T00:00:00Z,West Bengal,Not Available,2006-06-22T00:00:00Z,2023-11-01T00:00:00Z,No,No,Calcutta,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Madras,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Not Available,University of Calcutta,Science (Economics),University of Calcutta,1983,1990,West Bengal,No,No,No,,2006-06-22 00:00:00+00:00
